Date,Distance walking,Step count
2022-01-19,3.937,6993.000
2022-01-20,3.134,4529.000
2022-01-21,6.138,10772.000
2022-01-22,4.298,8041.000
2022-01-23,4.907,8425.000
2022-01-24,1.784,3030.000
2022-01-25,4.032,6860.000
2022-01-26,7.085,14114.000
2022-01-27,4.060,6108.000
2022-01-28,6.314,10512.000
2022-01-29,6.334,10108.000
2022-01-30,2.810,4964.000
2022-01-31,0.164,250.000
2022-02-01,1.718,3256.000
2022-02-02,1.754,3308.000
2022-02-03,7.051,13259.524
2022-02-04,11.589,22900.476
2022-02-05,10.266,19172.590
2022-02-06,7.066,12309.058
2022-02-07,3.221,5618.351
2022-02-08,11.769,20610.000
2022-02-09,9.618,14794.000
2022-02-10,3.570,6485.000
2022-02-11,4.472,7080.000
2022-02-12,5.973,9495.000
2022-02-13,10.170,15417.000
2022-02-14,7.201,10811.000
2022-02-15,2.978,5517.000
2022-02-16,2.994,5586.000
2022-02-17,4.142,7613.000
2022-02-18,2.418,3614.000
2022-02-19,7.875,11753.000
2022-02-20,1.563,2243.000
2022-02-21,7.091,11362.000
2022-02-22,1.448,2058.000
2022-02-23,1.062,1559.000
2022-02-24,4.216,6376.000
2022-02-25,1.740,2583.000
2022-02-26,6.947,10869.000
2022-02-27,3.921,6301.000
2022-02-28,7.722,11303.000
2022-03-01,3.325,5772.000
2022-03-02,4.540,6664.000
2022-03-03,5.170,7606.000
2022-03-04,7.685,11442.000
2022-03-05,4.274,6321.000
2022-03-06,3.494,5654.000
2022-03-07,6.637,9507.000
2022-03-08,5.076,7256.000
2022-03-09,4.487,6677.000
2022-03-10,3.315,4785.000
2022-03-11,3.790,5534.000
2022-03-12,7.278,9817.000
2022-03-13,10.796,15756.000
2022-03-14,4.905,7059.000
2022-03-15,2.652,3842.000
2022-03-16,4.903,6934.000
2022-03-17,3.143,4809.000
2022-03-18,4.051,6090.000
2022-03-19,2.567,3991.000
2022-03-20,0.994,1502.000
2022-03-21,0.044,63.000
2022-03-22,0.082,121.000
2022-03-23,0.104,162.000
2022-03-24,0.114,179.000
2022-03-25,0.105,164.000
2022-03-26,0.136,194.000
2022-03-27,6.795,10791.000
2022-03-28,4.800,6950.000
2022-03-29,4.388,6649.000
2022-03-30,2.011,3165.000
2022-03-31,2.068,2876.000
2022-04-01,7.809,12490.000
2022-04-02,8.521,12130.000
2022-04-03,4.156,5817.000
2022-04-04,7.562,10256.000
2022-04-05,1.985,2684.000
2022-04-06,2.579,3418.000
2022-04-07,3.732,5499.000
2022-04-08,7.784,11160.000
2022-04-09,6.266,8776.000
2022-04-10,7.185,10859.000
2022-04-11,3.641,5147.000
2022-04-12,3.679,5468.000
2022-04-13,2.536,3728.000
2022-04-14,3.339,4711.000
2022-04-15,4.609,6615.000
2022-04-16,9.458,13920.000
2022-04-17,8.078,11569.000
2022-04-18,4.592,6850.000
2022-04-19,4.903,6914.000
2022-04-20,6.008,8538.000
2022-04-21,3.460,4843.000
2022-04-22,8.133,11450.000
2022-04-23,5.386,7563.000
2022-04-24,3.112,4589.000
2022-04-25,4.556,6414.000
2022-04-26,3.402,4795.000
2022-04-27,4.121,6038.000
2022-04-28,5.367,7518.000
2022-04-29,2.549,3784.000
2022-04-30,4.662,7145.000
2022-05-01,5.307,8201.000
2022-05-02,6.889,10727.000
2022-05-03,6.613,9646.000
2022-05-04,6.503,9334.000
2022-05-05,5.628,7840.000
2022-05-06,8.588,12145.000
2022-05-07,1.516,2087.000
2022-05-08,3.367,4893.000
2022-05-09,6.653,9440.000
2022-05-10,7.361,10169.000
2022-05-11,2.134,3019.000
2022-05-12,4.776,6709.000
2022-05-13,6.786,9472.852
2022-05-14,5.211,7477.040
2022-05-15,7.274,11109.108
2022-05-16,2.987,4169.000
2022-05-17,4.660,6366.000
2022-05-18,3.174,4573.000
2022-05-19,3.185,4456.000
2022-05-20,3.479,4942.000
2022-05-21,1.578,2216.000
2022-05-22,2.232,3149.000
2022-05-23,2.433,3362.000
2022-05-24,4.677,6574.000
2022-05-25,3.258,4611.000
2022-05-26,5.103,7213.000
2022-05-27,5.977,8460.000
2022-05-28,5.158,7765.000
2022-05-29,6.592,9002.000
2022-05-30,4.273,6278.192
2022-05-31,2.107,3064.808
2022-06-01,6.824,10473.000
2022-06-02,6.365,9551.000
2022-06-03,4.965,6876.000
2022-06-04,0.888,1291.000
2022-06-05,3.675,5553.000
2022-06-06,3.563,5317.000
2022-06-07,4.209,5950.000
2022-06-08,4.950,7020.000
2022-06-09,4.038,5999.000
2022-06-10,6.170,9503.000
2022-06-11,2.720,4500.000
2022-06-12,3.191,5076.000
2022-06-13,2.342,3344.000
2022-06-14,2.111,3032.000
2022-06-15,9.174,13515.000
2022-06-16,4.605,6514.000
2022-06-17,4.807,7388.000
2022-06-18,3.582,5015.000
2022-06-19,3.501,5455.000
2022-06-20,5.073,7479.000
2022-06-21,7.599,10721.000
2022-06-22,4.051,5765.000
2022-06-23,6.384,9479.000
2022-06-24,4.226,5835.000
2022-06-25,6.133,8587.000
2022-06-26,8.656,12355.000
2022-06-27,8.870,12703.000
2022-06-28,5.617,8264.000
2022-06-29,6.646,10043.000
2022-06-30,4.233,5993.000
2022-07-01,11.875,17231.000
2022-07-02,3.236,4941.000
2022-07-03,3.655,5188.000
2022-07-04,5.442,8033.000
2022-07-05,3.996,5738.000
2022-07-06,4.878,6943.000
2022-07-07,8.399,11570.000
2022-07-08,11.107,17868.000
2022-07-09,5.733,8310.000
2022-07-10,5.425,8152.000
2022-07-11,2.808,4141.000
2022-07-12,4.824,6799.789
2022-07-13,5.682,8018.211
2022-07-14,3.119,4635.000
2022-07-15,9.200,13319.000
2022-07-16,9.413,13277.000
2022-07-17,4.117,6396.000
2022-07-18,9.670,13560.000
2022-07-19,5.605,7679.000
2022-07-20,9.019,13312.000
2022-07-21,3.284,4901.000
2022-07-22,6.166,8858.000
2022-07-23,3.294,5044.000
2022-07-24,3.059,4963.000
2022-07-25,5.251,7067.000
2022-07-26,2.838,4023.000
2022-07-27,4.938,7104.000
2022-07-28,5.638,7892.000
2022-07-29,5.496,8442.000
2022-07-30,3.658,5544.000
2022-07-31,7.533,10679.000
2022-08-01,4.393,6501.897
2022-08-02,4.324,6327.103
2022-08-03,6.450,9090.875
2022-08-04,3.503,5484.125
2022-08-05,4.198,5858.000
2022-08-06,5.866,8758.000
2022-08-07,3.130,4903.000
2022-08-08,4.119,5668.000
2022-08-09,2.565,3576.000
2022-08-10,9.051,12665.000
2022-08-11,3.856,5468.000
